Key,Item Type,Publication Year,Author,Title,Short Title,ISBN,Link,Abstract Note,Num Pages,Series,Publisher,Place,Coordinates,Library Catalog,Call Number,Manual Tags,Automatic Tags
BFAPXST4,book,1989,"Obermeier, Klaus K.",Natural language processing in artificial intelligence: the science and industry perspective,NLP in AI: Science & Industry,978-0-7458-0562-7 978-0-470-21528-9,https://catalog.libraries.psu.edu/catalog/1142450,,263,Ellis Horwood series in artificial intelligence,Ellis Horwood ; Halsted Press,"Chichester, West Sussex, England : New York","50.8367, -0.7802 and 40.7128, -74.0060  ",Library Catalog (Blacklight),Q336 .O24 1989,physical,Artificial intelligence; Data processing; Natural language processing (Computer science)
3ZSYUBW5,book,1986,"Bonissone, P.P.; Henrion, M.; Lemmer, J.F.; Kanal, L.N.",Uncertainty in artificial intelligence,Uncertainty in AI,,https://catalog.libraries.psu.edu/catalog/1687204,,,Machine intelligence and pattern recognition,North-Holland,Amsterdam ; New York,"52.3676, 4.9041 and 40.7128, -74.0060  ",Library Catalog (Blacklight),Q375 .U54,physical,Artificial intelligence; Periodicals; Uncertainty (Information theory)
N8GFQG5L,book,1987,"Kearsley, Greg P.",Artificial intelligence and instruction: applications and methods,AI & Instruction Methods,978-0-201-11654-0,https://catalog.libraries.psu.edu/catalog/1088021,,351,,Addison-Wesley Pub. Co,"Reading, Mass.","42.5257, -71.0953  ",Library Catalog (Blacklight),Q335.5 .A76 1987,physical,Artificial intelligence; Computer-assisted instruction
78SHGQNA,book,1986,"Gill, Karamjit S.",Artificial intelligence for society,AI for Society,978-0-471-90930-9,https://catalog.libraries.psu.edu/catalog/845271,,280,,Wiley,Chichester [West Sussex]; New York,"50.8367, -0.7802 and 40.7128, -74.0060  ",Library Catalog (Blacklight),Q335.5 .A785 1986,physical,Artificial intelligence; Social aspects
MGITLMGN,book,1985,"Mishkoff, Henry C.",Understanding artificial intelligence,Understanding AI,978-0-672-27021-5,https://catalog.libraries.psu.edu/catalog/1367422,,258,Sams understanding series,H. W. Sams,"Indianapolis, Ind","39.7684, -86.1581  ",Library Catalog (Blacklight),,physical,Artificial intelligence
KLY8JQGF,book,1990,"Bratko, Ivan",Prolog programming for artificial intelligence,Prolog for AI,978-0-201-41606-0,https://catalog.libraries.psu.edu/catalog/1330647,,597,International computer science series,Addison-Wesley Pub. Co,"Wokingham, England ; Reading, Mass","51.4100, -0.8330 and 42.5257, -71.0953  ",Library Catalog (Blacklight),Q336 .B74 1990,physical,Artificial intelligence; Data processing; Prolog (Computer language)
YSMQ5M29,book,2008,"Floreano, Dario; Mattiussi, Claudio","Bio-inspired artificial intelligence: theories, methods, and technologies",Bio-Inspired AI,978-0-262-06271-8,https://catalog.libraries.psu.edu/catalog/5120308,,659,Intelligent robotics and autonomous agents,MIT Press,"Cambridge, Mass","42.3736, -71.1097  ",Library Catalog (Blacklight),Q336 .F66 2008,physical,Artificial intelligence; Data processing; Autonomous robots; Informatique; Intelligence artificielle; Natural computation; Robots autonomes; Self-organizing systems
X5UV8G9V,book,1987,"Tanimoto, S.",The elements of artificial intelligence: an introduction using LISP,Elements of AI (LISP),978-0-88175-113-0,https://catalog.libraries.psu.edu/catalog/1205257,,530,Principles of computer science series,Computer Science Press,"Rockville, MD","39.0840, -77.1528  ",Library Catalog (Blacklight),Q336 .T36 1987,physical,Artificial intelligence; Data processing; LISP (Computer program language)
HZZKCXQY,book,1995,"Tanimoto, S.",The elements of artificial intelligence using common LISP,Elements of AI (Common LISP),978-0-7167-8269-8,https://catalog.libraries.psu.edu/catalog/1875614,,823,,Computer Science Press,New York,"40.7128, -74.0060  ",Library Catalog (Blacklight),Q336 .T37,physical,Artificial intelligence; Data processing; LISP (Computer program language)
FDUZ78U9,book,1987,"Uhr, Leonard Merrick","Multi-computer architectures for artificial intelligence: toward fast, robust, parallel systems",Parallel Architectures for AI,978-0-471-84979-7,https://catalog.libraries.psu.edu/catalog/1292438,,358,,Wiley,New York,"40.7128, -74.0060  ",Library Catalog (Blacklight),Q336 .U37 1987,physical,Artificial intelligence; Data processing; Computer architecture; Computer networks; Parallel processing (Electronic computers)
EPJVZIE6,book,1990,"Kim, Steven H.",Designing intelligence: a framework for smart systems,Designing Intelligence,978-0-19-506016-4,https://catalog.libraries.psu.edu/catalog/1408570,,273,,Oxford University Press,New York,"40.7128, -74.0060  ",Library Catalog (Blacklight),Q355 .K55 1990,physical,Artificial intelligence
RWUM56BW,book,2003,"Moor, James",The Turing test: the elusive standard of artificial intelligence,The Turing Test & AI,978-1-4020-1204-4 978-1-4020-1205-1,https://catalog.libraries.psu.edu/catalog/2776794,,273,,Kluwer Academic Publishers,Dordrecht ; Boston,"51.8133, 4.6901 and 42.3601, -71.0589  ",Library Catalog (Blacklight),Q341 .T87 2003,physical,Artificial intelligence; Turing test
QD4PWSQW,webpage,2022,"Hageback, Niklas",AI for creativity / Niklas Hageback - Penn State University Libraries Catalog,AI for Creativity,,https://catalog.libraries.psu.edu/catalog/36812861,,,,,"University Park, PA","40.7982, -77.8599  ",,,physical,Artificial intelligence
GJIF26HR,webpage,2024,IBM,What Is Artificial Intelligence (AI)? | IBM,What Is AI  IBM,,https://www.ibm.com/think/topics/artificial-intelligence,"Artificial intelligence (AI) is technology that enables computers and machines to simulate human learning, comprehension, problem solving, decision-making, creativity and autonomy.",,,,"Armonk, NY","41.1265, -73.7143  ",,,website,Artificial intelligence
VLFJRHSY,blogPost,2024,NASA,What is Artificial Intelligence? - NASA,What Is AI  NASA,,https://www.nasa.gov/what-is-artificial-intelligence/,"Artificial intelligence refers to computer systems that can perform complex tasks normally done by human-reasoning, decision making, creating, etc.",,,,"Washington, DC","38.9072, -77.0369  ",,,website,Artificial intelligence
IVWNTWTH,webpage,2023,U.S. Department of State,Artificial Intelligence (AI) - United States Department of State,AI  U.S. Dept. of State,,https://www.state.gov/artificial-intelligence/,,,,,"Washington, DC","38.9072, -77.0369  ",,,website,Artificial intelligence
4BI35WLR,journalArticle,2023,"Giattino, Charlie; Mathieu, Edouard; Samborska, Veronika; Roser, Max",Artificial Intelligence,AI Overview,,https://ourworldindata.org/artificial-intelligence,AI already has a large impact on our world. Explore research and data to understand the trajectory of this important technology.,,,,"Oxford, United Kingdom","51.7520, -1.2577  ",ourworldindata.org,,website,Artificial intelligence
ST7PUUQC,webpage,2023,Gartner,What Is Artificial Intelligence (AI)?,What Is AI  Gartner,,https://www.gartner.com/en/topics/artificial-intelligence,Everything you need to know about artificial intelligence (AI) terms and techniques.,,,,"Stanford, Connecticut","41.0534, -73.5387  ",,,website,Artificial intelligence
Q4CQKZPV,webpage,2024,Google Cloud,What Is Artificial Intelligence (AI)? | Google Cloud,What Is AI  Google Cloud,,https://cloud.google.com/learn/what-is-artificial-intelligence,,,,,"Mountain View, California","37.3861, -122.0839  ",,,,
